post_id,content,user_id,timestamp,post_type
post_101,"Just finished my final project for Non-Relational Databases! Built a social media analytics tool using MongoDB, Cassandra, Dgraph, and ChromaDB. The graph visualizations are so satisfying to see! #coding #databases #studentlife",hannah_chenoa,2025-01-15T14:30:00Z,education
post_102,"Anyone else struggling with understanding the CAP theorem? I get the concept but applying it to real scenarios is tough. Study group anyone? #databases #exam",luis_fernando,2025-01-16T09:15:00Z,education
post_103,"The new AI features in Python libraries are absolute game changers. Just implemented semantic search with ChromaDB and the results are mind-blowing. This is the future of information retrieval! #AI #machinelearning #python",stephanie_borrego,2025-01-16T11:45:00Z,technology
post_104,"Looking for a co-founder for a tech startup focused on data analytics. Need someone who knows React, Node.js, and has experience with graph databases. DM me if interested! #startup #hiring #tech",adan_juarez,2025-01-17T16:20:00Z,career
post_105,"Why does my code always work perfectly on localhost but crashes spectacularly in production? Docker containers hate me apparently 😭 #developerproblems #debugging",dev_diana,2025-01-17T22:10:00Z,technology
post_106,"Dgraph's GraphQL support is seriously underrated. Just migrated our entire API and the query performance improved by 300%. If you're still using REST for everything, you're missing out.",dev_edward,2025-01-18T10:05:00Z,technology
post_107,"Hot take: NoSQL databases aren't replacing SQL, they're complementing it. Used MongoDB for user profiles and PostgreSQL for transactions in the same project. Works beautifully. #databases",prof_leobardo,2025-01-18T13:40:00Z,education
post_108,"Successfully defended my thesis on distributed systems! Three years of research finally paid off. Thank you to everyone who supported me through this journey 🎓",student_alice,2025-01-19T15:25:00Z,education
post_201,"Found the most incredible taquería in Guadalajara last night! The tacos de birria with consomé were absolutely divine. The salsa verde had the perfect kick. If you're in the area, you NEED to try Tacos Don Juan near Plaza de la Liberación 🌮🔥",foodie_1,2025-01-15T20:30:00Z,food
post_202,"Sunday morning ritual: Strong coffee, a good book, and complete silence. Currently reading 'Designing Data-Intensive Applications' and it's changing how I think about system architecture. Highly recommend! ☕📚",luis_fernando,2025-01-19T08:15:00Z,lifestyle
post_203,"Attempted to make homemade sushi today. Let's just say the rice was sticky... but not in the right way. The salmon was great though! Ordering from my favorite sushi place instead 🍣😅",hannah_chenoa,2025-01-20T19:45:00Z,food
post_204,"Looking for vegetarian restaurant recommendations in the city for an anniversary dinner. Needs to be romantic but not too fancy. Bonus points if they have good wine! 🍷",stephanie_borrego,2025-01-20T12:30:00Z,food
